,Timestamp,Collector,Topic,Keywords,Account Handle,Account Name,Account Bio,Account Type,Joined,Following,Followers,Location,Tweet,Tweet Type,Date Posted,Tweet URL,Screenshot,Content Type,Likes,Replies,Retweets,Rating,Reasoning,Other Data
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,sknNbns,âœ¨ doolie,enfp | Memento Mori | i'm the problem,,2010-11-09 06:08:04+00:00,629,273,Taguig,"This whole kadamay occupying houses shit is so frustrating. ğŸ˜§ mahirap din kami mga mamshie, walang sariling bahay pero di kami magnanakaw ng",,2017-04-06 10:49:29+00:00,https://twitter.com/sknNbns/status/849937095598628864,,,1,2,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,savedbymgc1995,.,,,2015-04-03 14:51:55+00:00,229,114,PHL,KABWISIT TONG MGA KADAMAY NA TO PISITING YAWA MAGNANAKAW NA NGA NG BAHAY SALOT PA SA LIPUNAN,,2017-05-26 04:48:17+00:00,https://twitter.com/savedbymgc1995/status/867965588647182336,,,0,1,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,iamzciohakkai,markymark,FilipinoğŸ‡µğŸ‡­ BeermenğŸ» DapatAngKarapatdapatğŸ€,,2011-04-13 05:09:26+00:00,470,79,,@pattypasion @rapplerdotcom @sec_judy supporters? meaning mga KADAMAY? yung pinadalhan pa ng food packs na magnanakaw ng bahay. OKAY.,,2017-05-17 04:20:19+00:00,https://twitter.com/iamzciohakkai/status/864697060393496576,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,DZMMTeleRadyo,DZMM TeleRadyo,"The Official Twitter news feed of DZMM Radyo Patrol 630, DZMM TeleRadyo and https://t.co/xFP7gFSYYB. Like us on Facebook: https://t.co/FFvpFBOPD0",,2009-11-24 02:03:16+00:00,180,1513535,"ABS-CBN, Diliman, Quezon City","Kadamay Chairperson Gloria Arellano: ""Hindi kami magnanakaw ng bahay!"" | via @zhandercayabyab https://t.co/Bo4YeUt5Qr",,2017-06-16 02:55:31+00:00,https://twitter.com/DZMMTeleRadyo/status/875547357831602176,,,14,73,5,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,zhandercayabyab,Zhander Cayabyab,News Anchor at DZXL RMN | Broadcast Journalist | College Instructor @ThePUPOfficial; TikTok: @maskomportable,,2012-08-06 07:42:21+00:00,1197,12946,Republic of the Philippines,"Kadamay Chairperson Gloria Arellano: ""Hindi kami magnanakaw ng bahay!"" @DZMMTeleRadyo https://t.co/FlV4G4kXo0",,2017-06-16 02:52:01+00:00,https://twitter.com/zhandercayabyab/status/875546474989314048,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,pinoymag15,Pinoy Magazine,,,2014-12-22 02:30:44+00:00,40,29,,Kadamay Chairperson privilege/benefit iyon ng mga sundalo. Kayo Kadamay mga magnanakaw ng bahay ng mga sundalo... https://t.co/Cy3jiZ9Ex0,,2017-07-27 23:30:53+00:00,https://twitter.com/pinoymag15/status/890716151222861824,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,Rip_Vanwinkle,Tobyn Frost,Just an average Joe!,,2009-04-29 08:17:47+00:00,429,285,Everywhere but nowhere,@cnnphilippines Food packs para sa Kadamay na magnanakaw ng pabahay pero sa mga Maranao na nawalan ng bahay sa Marawi nganga! Buti nga sa iyo! LOL!,,2017-08-17 03:04:31+00:00,https://twitter.com/Rip_Vanwinkle/status/898017669261152256,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,michelle_oliva,michelle oliva,"simple,friendly and goodwife",,2013-03-22 12:03:52+00:00,18,12,,Tamad na nga kayo magnanakaw pa ng bahay yan c kadamay https://t.co/E7WPAU17Gr,,2017-09-21 10:37:53+00:00,https://twitter.com/michelle_oliva/status/910815340183027712,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,PauLoMercado17,PauLo Mercado,BasTa fEeL ko lang im Special sabe ng Mama ko,,2018-01-03 04:12:58+00:00,66,3,Manila,@bamaquino @senatePH Nako Aagawin Yan ng grupong Kadamay....mga Magnanakaw ng bahay yun eh...gusto pa Libre KURYENTE..TUBIG AT YAYA SA ANAK...,,2018-02-06 05:12:18+00:00,https://twitter.com/PauLoMercado17/status/960742928527212544,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,RiskIt4DBiskit,dmy,,,2012-09-01 13:13:54+00:00,905,169,,"@cnnphilippines ang Sinungaling ay Kapatid ng Magnanakaw, panu nga ulit nakuha ng kadamay mga bahay nila?",,2018-02-02 10:58:21+00:00,https://twitter.com/RiskIt4DBiskit/status/959380462610268162,,,2,1,1,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,MelkcasTrabel,ğŸ’šâ™elkcasğŸŒˆâ˜¦rabelğŸ’šğŸ’–,ğŸ…±abanatan ko kayo mapa ğŸ…°dministrasyon man o ğŸ…¾posisyon kung ğŸ…¿alpak kayo sa ğŸ…¿ananaw koâœŒğŸ‡µğŸ‡­ğŸ‘Š,,2018-02-11 16:01:03+00:00,1002,684,Pasig|Cavite|Antipolo|DavaoPH,@InqNational @inquirerdotnet Kadamay mga magnanakaw!  Ayaw magsikap para makapundar ng sariling bahay.  Make pal ang mga face! ğŸ˜ˆ,,2018-03-09 06:18:06+00:00,https://twitter.com/MelkcasTrabel/status/971993510898356226,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,G0dsp33dEds22,g0dsp33d,,,2017-07-23 14:40:34+00:00,202,9,Republic of the Philippines,"@ABSCBNNews @raphbosano Grabe nmn kayo mga kadamay! Yung karamihan nga nagtatrabaho ng maayos para magkaron ng sariling bahay, kayo mga magnanakaw ng bahay na nala.aan para sa mga bayaning sundalo ng pilipinas. Kapal nyo po!",,2018-03-09 00:38:04+00:00,https://twitter.com/G0dsp33dEds22/status/971907939005972480,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,jeng1721,Jeng,,,2016-12-06 09:07:26+00:00,71,88,,@gmanews Akala ng mga bugok n kadamay n magnanakaw sila lng ang Pilipino..mga abusado..mahirap dn ako..wala ako bahay..pro hndi ko gagamitin ang pagiging mahirap ko pra mang agaw..magsisikap ako pra magkabahay ako,,2018-06-16 07:04:46+00:00,https://twitter.com/jeng1721/status/1007881651949408256,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,crux_sonata,Crux of the Matter ğŸ•ŠğŸƒâ€â™€ï¸ğŸ¦…ğŸƒâ€â™€ï¸,mahalin natin aNg pilipinas,,2016-11-14 08:46:44+00:00,273,1418,Philippines,kung panahon ni Aquino ginawa ng kadamay yan baka ma-kidapawan massacre lang sila. Yun nga BIGAS lang pangtawid gutom at di BAHAY na pangforever pero anong nangyari? Bala pinakain. Mas grabe yun. Etong mga @KadamayNtnl nanggugulo lang. Mga magnanakaw ng bahay!,,2018-06-15 14:37:24+00:00,https://twitter.com/crux_sonata/status/1007633173767860226,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,vjm0906,Valerie,"Come, butterfly It's late
We've miles to go together",,2015-12-21 03:34:48+00:00,1998,2312,...,@inquirerdotnet @NCorralesINQ sinasagad ang pasensya ng gobyerno ng Kadamay. before we know it mga bahay naman natin ang aagawin ng mga yan. parang may-ari ng @inquirerdotnet - it occupied mile long without paying rent. magnanakaw,,2018-06-14 12:07:16+00:00,https://twitter.com/vjm0906/status/1007233003532124160,,,23,3,1,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,JocelNavarra,jocelğŸ’•,ğŸ˜ŠğŸ’,,2014-08-04 09:38:35+00:00,47,152,Taguig City,Kailan naging magnanakaw ang isang bagay na alam mo namang para sayo? diba mas mag nanakaw yung naninigil ng bayad na alam namang libre? ğŸ¤¨ paano naging magnanakaw ng bahay ang kadamay? ğŸ™„,,2018-06-14 07:23:35+00:00,https://twitter.com/JocelNavarra/status/1007161611650363392,,,1,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,dyansakalye,April Dyan Gumanao,campus hottie!,,2011-04-19 15:36:54+00:00,593,848,Philippines,"Excuse me, Ma'am. Hindi po magnanakaw  ng Bahay ang Kadamay! Pano mo nanakawin ang alam mong serbisyo na dapat naman talaga ay para sa'yo?",,2018-06-14 05:59:57+00:00,https://twitter.com/dyansakalye/status/1007140567086583810,,,2,1,1,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,iamdmateo,Mark Dennis Mateo,#GoUSTe | Part time wanderer | Diagonally parked in a parallel universe | Self confessed minimalist,,2012-07-13 20:56:45+00:00,48,56,"Diliman, QC",Ibang level ang kapal ng mukha nitong #KADAMAY. Mga magnanakaw ng bahay. Yan ang fitting term para sa kanila. Mga MAGNANAKAW NG BAHAY.,,2018-06-13 10:21:06+00:00,https://twitter.com/iamdmateo/status/1006843897572544512,,,1,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,Jjcruz2,jcco,I am nobody and nothing to brag about.,,2012-03-15 05:00:37+00:00,5236,7036,,@superwoman1963 Naku wag mo sya intindihin bes. Kusang nalulusaw ang baba nya. 3 nlang yta naniniwala sa kanya. Yung mga magnanakaw ng bahay na friendship nyang â€œkadamayâ€ bumaliktad na din. Bka may natusok ksi ng baba nya! Wahahaha,,2018-06-01 05:51:28+00:00,https://twitter.com/Jjcruz2/status/1002427390616743936,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,Abuka1023,Mark Garcia,,,2014-06-13 13:48:03+00:00,40,23,,"@teddycasino Kung yan ang logic mo, ano ang masasabi mo sa pang-aagaw ng bahay ng KADAMAY, ibig sabihin magnanakaw rin pala si Joma Sison, di maganda ang nangyari pero akala ko ba kapag inaapi ka ng dayuhan, dapat kang lumaban, dapat nandyan si Sister Fox, nasabihan nya ang kanyang kababayan! https://t.co/SZC12UOA3b",,2018-07-03 00:45:27+00:00,https://twitter.com/Abuka1023/status/1013946791232823296,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,ulikedenis,ulikedenis,"I like to sing, draw, read, play video games, swim, ride a motorcycle, cook and watch movies. I am an HIV Awareness ang LGBT Advocate! :)",,2009-10-06 17:48:11+00:00,221,241,"Rodriguez, Rizal, Philippines","Eto ang TUNAY NA KULAY NG KADAMAY na nanggugulo ngayon sa NutriAsia. Eto yung gusto makahuthot ngayon sa NutriAsia. Mga magnanakaw ng bahay na para sa ibang mga tao. Why support these people. Pweee. 
#IstandwithNutriasia
#theTruthaboutNutriAsia 

https://t.co/n69y3TQwe8",,2018-08-05 22:53:10+00:00,https://twitter.com/ulikedenis/status/1026239718638247936,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,junjemenez12,jun jemenez,looking for a loving partner,,2014-08-28 05:10:23+00:00,562,432,"Dubai, United Arab Emirates",@stoneheart0602 @ABSCBNNews Oh diba umamin ka din na kadamay member kang hunghang ka ikaw ata yung pangit na bakla na leader nila eh? Huy mag trabaho ka nga para kang daga pasok ng pasok sa mga Bahay magnanakaw! So poor kadamay,,2018-09-24 02:41:45+00:00,https://twitter.com/junjemenez12/status/1044054251822026752,,,0,1,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,LivMunar,Liv Munar,im a fighter resbaker sa mga abnoynoy,,2019-01-12 01:26:35+00:00,260,338,,@PhilstarNews Asus hoi kadamay magnanakaw ng bahay mag banat ka ng boto kami nga ilan taon kami kumayod sa ibang bansa para magkabahay magkalupa ikaw gusto mo libre ayaw mo pa magbayad ng mga mehoras ilaw tubig gusto mo libre ano ka sinu swerte ka. Napaka tamad mo inutil na leader ng kadamay,,2019-01-30 11:13:43+00:00,https://twitter.com/LivMunar/status/1090568738695348224,,,7,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,DonnaBondad,DDS Donna,"Solid Duterte Supporter
Duterte-Marcos",,2018-08-08 11:52:35+00:00,93,31,National Capital Region,"BASAHIN PO NINYO 
ITO PO AY PATUNAY NA KAISA NG LP ang BAYAN MUNA at KADAMAY. MGA ALAGAD NG LP YANG SI RENATO BABA REYES AT ITONG MAGNANAKAW NG BAHAY NA SI GLORIA ARELLANO. https://t.co/HFkiYZQE1X",,2019-03-09 04:48:52+00:00,https://twitter.com/DonnaBondad/status/1104242624125456384,,,1,0,1,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,czelseyayen,Lodi Petmalu,simple pero rock!!!!,,2010-02-06 15:33:34+00:00,192,33,philippines,@Dbigbalbowski @IskoMoreno Arestuhin yang mga kadamay na yan.. mga magnanakaw ng bahay nang may bahay!!! Mga tamad..letsugas!ğŸ¤£ğŸ˜‚ğŸ¤ªğŸ‘,,2019-07-11 15:13:27+00:00,https://twitter.com/czelseyayen/status/1149335904109993985,,,1,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,GarciaKit13,KGarcia,"Profession & Interest: 
Audio Visual & Security System Professional/ Contractor/ DJ/ Sound Tech/ Crypto/ Stocks/ Politics

-Jack of All Trades, Master of None-",,2013-10-20 04:52:34+00:00,828,193,,@KadamayNtnl KADAMAY = MAGNANAKAW NG BAHAY (Professionally),,2020-04-06 07:45:48+00:00,https://twitter.com/GarciaKit13/status/1247067970238627841,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,GarciaKit13,KGarcia,"Profession & Interest: 
Audio Visual & Security System Professional/ Contractor/ DJ/ Sound Tech/ Crypto/ Stocks/ Politics

-Jack of All Trades, Master of None-",,2013-10-20 04:52:34+00:00,828,193,,@teddycasino Ganun naman talaga kaming mahihirap Teddy. Huwag lang mahahaluan ng mga tarantadong magugulo at MAGNANAKAW ng bahay. Kaya pakisabi diyan sa KADAMAY na salot (katulad niyo)....TUMALON SA BANGIN. Salot!,,2020-04-05 13:00:32+00:00,https://twitter.com/GarciaKit13/status/1246784789920788480,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,GarciaKit13,KGarcia,"Profession & Interest: 
Audio Visual & Security System Professional/ Contractor/ DJ/ Sound Tech/ Crypto/ Stocks/ Politics

-Jack of All Trades, Master of None-",,2013-10-20 04:52:34+00:00,828,193,,"Gunggong! Kayong KADAMAY ang magugulo, tamad at MAGNANAKAW nga bahay! Tangtangto! Nagmamalinis pa itong KADAMAY na KAWATAN! 

Mga salot sa lipunan. Mangagantso ng mga totoong maralita ng lipunan.",,2020-04-05 12:57:48+00:00,https://twitter.com/GarciaKit13/status/1246784099806785542,,,1,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,justme_Belle,BelleğŸ‡ğŸğŸ‰,,,2016-06-12 14:40:15+00:00,159,236,,@PinoyAkoBlog Ang problema kasi mga KADAMAY sila known na magnanakaw ng bahay. Atnapansin akon sa video enjoy na enjoy ang mga nagrarally sa atensyon na nakukuha nila sa mga Pulis #Scripted,,2020-04-03 02:05:07+00:00,https://twitter.com/justme_Belle/status/1245895070319927296,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,HeRo_Regala,HeRo Regala,"kaSERBESA mo ğŸ»ğŸº
Jema Galanza Believer ğŸ’›ğŸ’›ğŸ’›
noodle-lover,
respeto lang kung gusto mong irespeto din kita, wysiwyg",,2018-07-03 03:03:55+00:00,496,253,"Quezon City, National Capital ","@loidasandiego77 @raoulfrancoism @PinoyAkoBlog Kadamay nga nag-instigate.. yung mga magnanakaw ng bahay na gusto tubig at kuryente nila libre. And may news crew agad ğŸ¤”? Anyways, ano nga palang hanash nyo dun sa walang awang pinaslang na Tribal Leader nga makakalisang grupo ng NPA?!",,2020-04-02 22:40:24+00:00,https://twitter.com/HeRo_Regala/status/1245843552459882496,,,1,1,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,tjrerk,Molly Vogue,,,2014-10-10 01:20:11+00:00,224,1037,,Nakita mo ba yung ginawa ng kadamay nung isang araw na nagrally? Yes nagrally ang Kadamay. Di ba mas lalong delikado pag ganyan mas lalong kakalat ang virus? Pinoprovoke nila ang mga Police. They are known na magnanakaw ng bahay ng hindi sa kanila at ibebenta.,,2020-04-02 05:56:07+00:00,https://twitter.com/tjrerk/status/1245590816682201097,,,0,1,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,GarciaKit13,KGarcia,"Profession & Interest: 
Audio Visual & Security System Professional/ Contractor/ DJ/ Sound Tech/ Crypto/ Stocks/ Politics

-Jack of All Trades, Master of None-",,2013-10-20 04:52:34+00:00,828,193,,"@KadamayNtnl @teddycasino Hindi, pero mukha siyang magnanakaw ng bahay. Oh di ba? Mga kawatan ng bahay ang KADAMAY. ğŸ˜‚ğŸ˜‚ğŸ˜‚",,2020-07-26 08:16:45+00:00,https://twitter.com/GarciaKit13/status/1287300813174403073,,,1,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,GarciaKit13,KGarcia,"Profession & Interest: 
Audio Visual & Security System Professional/ Contractor/ DJ/ Sound Tech/ Crypto/ Stocks/ Politics

-Jack of All Trades, Master of None-",,2013-10-20 04:52:34+00:00,828,193,,"Tapos ibibigay lang dun sa mga magnanakaw ng bahay na Kadamay?! Anak ng patola, ğŸ˜‚ğŸ˜‚ğŸ˜‚",,2021-03-27 14:51:32+00:00,https://twitter.com/GarciaKit13/status/1375822804973617157,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,GarciaKit13,KGarcia,"Profession & Interest: 
Audio Visual & Security System Professional/ Contractor/ DJ/ Sound Tech/ Crypto/ Stocks/ Politics

-Jack of All Trades, Master of None-",,2013-10-20 04:52:34+00:00,828,193,,"@ColmenaresPH Tapos mauuna sa pila yung magnanakaw ng bahay na KADAMAY noh? Magaling! 

BTW, musta na yung armory mo? ğŸ˜‚",,2021-04-09 03:04:09+00:00,https://twitter.com/GarciaKit13/status/1380355828352360453,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,Kamiko08,ğŸ‘‘ğŸ’Queen yuri MaxiineğŸ’ğŸ‘‘,"Dear Enemies, I have so much more for you to be mad about. just be patient",,2013-08-05 10:43:53+00:00,308,153,,"@canete_darwin Yung mga makakapal na mukha na KADAMAYğŸ˜‚MGA SALOT SA LIPUNAN MGA BATUGAN,GUSTO LIBRE LAHAT,MGA MAGNANAKAW NG BAHAY AT LUPA.",,2022-04-25 06:40:20+00:00,https://twitter.com/Kamiko08/status/1518480006896586753,,,1,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,tonyoscartoons,Tonyoscartoons,Real life and political cartoons/ caricatures/ satire of Tonyo.,,2021-10-12 16:57:44+00:00,539,463,,"@canete_darwin KADAMAY- Mga npa, MAGNANAKAW ng bahay.

Ayaw nila ng MAGNANAKAW, right ?",,2022-04-24 17:27:16+00:00,https://twitter.com/tonyoscartoons/status/1518280427664195584,,,2,1,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,nnbnryglmn,SUMAN,,,2020-04-03 01:41:17+00:00,114,83,,@renso_peig Baka una sa helera yung mga kadamay na magnanakaw ng bahay. BWAHAHAHAHA.,,2022-11-10 14:25:54+00:00,https://twitter.com/nnbnryglmn/status/1590712356124102656,,,4,0,0,,,
